	numDishTags	numDishTagsWithSnippets	rid
449	0	0	7946
450	0	0	7947
451	3	3	7941
452	3	0	7942
453	0	0	7943
454	0	0	42175
455	0	0	16918
456	0	0	42172
457	0	0	80389
458	0	0	63781
459	3	3	16915
460	0	0	63784
461	0	0	16912
462	0	0	97470
463	0	0	97471
464	0	0	97473
465	0	0	12208
466	0	0	97476
467	3	0	12205
468	0	0	12202
469	3	2	90127
470	0	0	29359
471	0	0	95188
472	3	3	63250
473	0	0	10510
474	3	2	29353
475	3	2	95182
476	0	0	152278
477	0	0	29356
478	0	0	95181
479	3	0	54691
480	0	0	95908
481	0	0	21409
482	0	0	54697
483	0	0	142105
484	0	0	21400
485	0	0	21402
486	3	3	21403
487	3	3	62785
488	0	0	62788
489	0	0	34032
490	0	0	26836
491	0	0	26830
492	0	0	26833
493	3	3	67576
494	0	0	26839
495	3	3	11764
496	0	0	96982
497	0	0	96987
498	0	0	68632
499	0	0	96988
500	0	0	168211
501	0	0	76621
502	0	0	54034
503	0	0	54037
504	0	0	24579
505	0	0	138652
506	0	0	24577
507	0	0	95904
508	3	3	24571
509	3	3	58558
510	0	0	62125
511	3	2	79720
512	0	0	91458
513	0	0	79729
514	3	1	28405
515	3	1	58555
516	0	0	115072
517	0	0	115075
518	0	0	115078
519	0	0	34321
520	3	3	35059
521	0	0	35053
522	0	0	92836
523	3	3	306
524	0	0	91986
525	0	0	91987
526	3	3	91984
527	0	0	55123
528	0	0	129373
529	0	0	144193
530	0	0	110518
531	0	0	151192
532	0	0	110512
533	0	0	110515
534	0	0	23718
535	0	0	23719
536	0	0	23716
537	3	2	93583
538	0	0	23710
539	3	0	59206
540	0	0	59203
541	0	0	27009
542	0	0	27006
543	3	3	27007
544	3	1	27004
545	0	0	59209
546	0	0	140578
547	0	0	27000
548	0	0	27001
549	0	0	73600
550	0	0	92185
551	3	3	92182
552	0	0	73606
553	0	0	73609
554	0	0	92188
555	0	0	74050
556	0	0	74056
557	3	0	55789
558	0	0	32581
559	0	0	32584
560	0	0	32587
561	0	0	55783
562	0	0	115924
563	3	3	14839
564	0	0	35584
565	0	0	35586
566	0	0	35587
567	0	0	35581
568	0	0	56473
569	0	0	107917
570	0	0	107914
571	0	0	35589
572	3	3	32056
573	3	2	32053
574	0	0	57781
575	3	3	32059
576	0	0	55879
577	0	0	55872
578	0	0	55873
579	0	0	55870
580	0	0	117565
581	0	0	56785
582	0	0	25716
583	0	0	25710
584	3	1	25711
585	0	0	25713
586	3	1	21871
587	0	0	52783
